,K
Price/Earnings (TTM),20.93246
Price/Sales (TTM),1.59504
Price/Book (MRQ),9.87004
Price/Cash Flow (TTM),14.07732
5yr Low,51.34
5yr High,87.16
5yr Avg Return,0.011683333333333334
EPS Growth 5yr,0.09777200000000001
Revenue Growth 5yr,-0.0141391
Dividend Growth 5yr,0.035311300000000004
Short Int Current Month,9725066.0
Short Int Prev Month,10492543.0
Short Int Pct of Float,0.0285954
Days to Cover,4.57967
Float,340.1317
Shares Outstanding,342.67
Institutions Holding Shares,1056.0
% Held by Institutions,0.8105910000000001
FCF Growth 5yr,-3.071979016770389
