,KEY
Price/Earnings (TTM),7.97102
Price/Sales (TTM),1.6625
Price/Book (MRQ),0.67658
Price/Cash Flow (TTM),6.64264
5yr Low,7.45
5yr High,22.4
5yr Avg Return,0.012433333333333312
EPS Growth 5yr,0.09010579999999999
Revenue Growth 5yr,0.1543544
Dividend Growth 5yr,0.2321502
Short Int Current Month,15937112.0
Short Int Prev Month,15241290.0
Short Int Pct of Float,0.0166329
Days to Cover,1.22678
Float,970.6102
Shares Outstanding,975.4056
Institutions Holding Shares,1027.0
% Held by Institutions,0.808944
FCF Growth 5yr,0.23009739269837937
