,KLAC
% Below High,0.0705
% Held by Institutions,0.9372
52-Wk Range,['101.34 - 184.50']
Annual Dividend $,3.4
Annual Dividend %,0.0208
Ask,172.6
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.4
Bid,171.5
Bid Size,400.0
Closing Price,171.5
Day Change $,7.66
Day Change %,0.046799999999999994
Day High,172.39
Day Low,165.68
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",6.41
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.573
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,26.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.54
Prev Close,163.84
Short Interest,0.020099999999999996
Today's Open,166.83
Volume,1265444.0
Volume 10-day Avg,1626268.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.1350649350649351
Growth 1yr High Est,0.18604651162790686
Growth 1yr Consensus Est,0.160555723346421
Growth 2yr Low Est,0.03206335998098009
Growth 2yr High Est,0.15870953032375734
Growth 2yr Consensus Est,0.09538644515236872
Growth 5yr Low Est,0.09627123699061041
Growth 5yr High Est,0.18342845172137612
Growth 5yr Consensus Est,0.13984984435599326
Growth 5yr Actual/Est,0.1483886316444859
Growth 3yr Historic,0.1010753367003367
Price/Earnings (TTM),25.54432
Price/Sales (TTM),4.53203
Price/Book (MRQ),11.0093
Price/Cash Flow (TTM),17.89165
5yr Low,44.95
5yr High,184.5
5yr Avg Return,0.24659999999999996
EPS Growth 5yr,0.16275759999999997
Revenue Growth 5yr,0.09296549999999999
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,3138277.0
Short Int Prev Month,2887299.0
Short Int Pct of Float,0.0200761
Days to Cover,2.57453
Float,153.4985
Shares Outstanding,155.0489
Institutions Holding Shares,1051.0
FCF Growth 5yr,0.14531162048835047
"Price/Earnings (TTM, GAAP)",25.54
"PEG Ratio (TTM, GAAP)",2.12
Gross Profit Margin (TTM),0.5683
Operating Profit Margin (TTM),0.2311
Net Profit Margin (TTM),0.1825
Annual Dividend Yield,0.020800000000000003
Dividend Change %,0.1905
"Dividend Growth Rate, 3 Years",0.1298
EPS Growth (MRQ),-0.7916
EPS Growth (TTM),-0.1905
Revenue Growth (MRQ),-0.056600000000000004
Revenue Growth (TTM),0.2796
Return On Equity (TTM),0.3972
Return On Assets (TTM),0.1134
Return On Investment (TTM),0.1399
Revenue Per Employee (TTM),559408.0
Total Debt/Total Capital (MRQ),0.5970000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.85
Interest Coverage (MRQ),11.03
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,buy
creditSuisse,outperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2015-10-21 00:00:00
theStreet since,2016-01-29 00:00:00
creditSuisse since,2016-09-13 00:00:00
ford since,2020-03-20 00:00:00
