,KMB
% Below High,0.0718
% Held by Institutions,0.7193999999999999
52-Wk Range,['110.66 - 149.23']
Annual Dividend $,4.28
Annual Dividend %,0.0313
Ask,144.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,132.11
Bid Size,100.0
Closing Price,138.51
Day Change $,1.81
Day Change %,0.0132
Day High,139.09
Day Low,137.43
Dividend Pay Date,2020-07-02 00:00:00
"EPS (TTM, GAAP)",6.85
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.312
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,47.2B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",19.96
Prev Close,136.7
Shares Outstanding,340.5M
Short Interest,0.0155
Today's Open,138.79
Volume,1138137.0
Volume 10-day Avg,1887514.0
Volume Past Day,(Light)
