,KMI
% Above Low,0.6295000000000001
% Held by Institutions,0.6183
52-Wk Range,['9.42 - 22.58']
Annual Dividend $,1.05
Annual Dividend %,0.0703
Ask,15.4
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.0
Bid,15.37
Bid Size,100.0
Closing Price,15.35
Day Change $,0.41
Day Change %,0.0274
Day High,15.4
Day Low,15.1
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",0.58
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.516
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,34.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.71
Prev Close,14.94
Shares Outstanding,2.3B
Short Interest,0.0143
Today's Open,15.22
Volume,10993434.0
Volume 10-day Avg,15268429.0
Volume Past Day,(Light)
