,Industry,KMX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.72,13.69,Valuation,0.6302946593001841
Price/Sales (TTM),207.17,0.58,Valuation,0.002799633151518077
Price/Book (MRQ),29.12,3.15,Valuation,0.10817307692307691
"PEG Ratio (TTM, GAAP)",1.15,1.2,Valuation,1.0434782608695652
Gross Profit Margin (TTM),0.3346,0.134,Profitability,0.4004781829049612
Operating Profit Margin (TTM),0.0717,0.0571,Profitability,0.796373779637378
Net Profit Margin (TTM),0.0391,0.0437,Profitability,1.1176470588235294
Annual Dividend Yield,0.019,,Dividend,
Dividend Change %,0.17690000000000003,,Dividend,
"Dividend Growth Rate, 3 Years",0.16649999999999998,,Dividend,
EPS Growth (MRQ),0.3321,0.2466,Gowth rates,0.7425474254742548
EPS Growth (TTM),0.18850000000000003,0.11050000000000001,Gowth rates,0.5862068965517241
Revenue Growth (MRQ),0.032400000000000005,0.036000000000000004,Gowth rates,1.1111111111111112
Revenue Growth (TTM),0.056100000000000004,0.11810000000000001,Gowth rates,2.105169340463458
Return On Equity (TTM),0.509,0.2494,Effectiveness,0.4899803536345776
Return On Assets (TTM),0.1518,0.0446,Effectiveness,0.29380764163372863
Return On Investment (TTM),0.2416,0.0481,Effectiveness,0.1990894039735099
Revenue Per Employee (TTM),322581.0,751201.0,Effectiveness,2.3287205384074077
Total Debt/Total Capital (MRQ),0.7836,0.804,Financial strength,1.0260336906584993
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0003,Financial strength,0.37499999999999994
Quick Ratio (MRQ),0.38,0.53,Financial strength,1.3947368421052633
Interest Coverage (MRQ),14.0,,Financial strength,
