,KSS
Price/Earnings (TTM),4.076
Price/Sales (TTM),0.13913
Price/Book (MRQ),0.51237
Price/Cash Flow (TTM),1.73033
5yr Low,10.89
5yr High,83.28
5yr Avg Return,-0.14590000000000003
EPS Growth 5yr,0.0057417
Revenue Growth 5yr,0.0098043
Dividend Growth 5yr,0.11429980000000001
Short Int Current Month,23893965.0
Short Int Prev Month,18876656.0
Short Int Pct of Float,0.15455
Days to Cover,2.0292
Float,153.1029
Shares Outstanding,155.2465
Institutions Holding Shares,788.0
% Held by Institutions,0.970197
FCF Growth 5yr,0.12627226922943358
