,KSS
% Above Low,0.6713
% Held by Institutions,0.9702
52-Wk Range,['10.89 - 69.45']
Annual Dividend $,2.82
Annual Dividend %,0.1573
Ask,18.35
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.8
Bid,18.29
Bid Size,100.0
Closing Price,18.2
Day Change $,0.3
Day Change %,0.0168
Day High,18.92
Day Low,17.72
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",4.39
Ex-dividend,2020-03-17 00:00:00
Ex-dividend Date,03/17/20
Historical Volatility,0.8009999999999999
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,2.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.08
Prev Close,17.9
Shares Outstanding,155.2M
Short Interest,0.15460000000000002
Today's Open,18.55
Volume,10042024.0
Volume 10-day Avg,11712636.0
Volume Past Day,(Below Average)
