,KSU
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.30938416422287396
Growth 1yr High Est,0.05714285714285716
Growth 1yr Consensus Est,-0.1261206535400084
Growth 2yr Low Est,0.14148626183760765
Growth 2yr High Est,0.11032818532818522
Growth 2yr Consensus Est,0.12590722358289644
Growth 5yr Low Est,0.14504180590136942
Growth 5yr High Est,0.13142218854440696
Growth 5yr Consensus Est,0.1382319972228882
Growth 5yr Actual/Est,0.11690612999787744
Growth 3yr Historic,0.07323043790380473
