,LDOS
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.022222222222222143
Growth 1yr High Est,0.12426035502958577
Growth 1yr Consensus Est,0.07324128862590396
Growth 2yr Low Est,0.09905577514273167
Growth 2yr High Est,0.14370912488321386
Growth 2yr Consensus Est,0.12138245001297276
Growth 5yr Low Est,0.13180628736604683
Growth 5yr High Est,0.15175724363739157
Growth 5yr Consensus Est,0.1417817655017192
Growth 5yr Actual/Est,0.14174220625489553
Growth 3yr Historic,0.0894461629105906
