,LDOS
% Below High,0.1839
% Held by Institutions,0.7698999999999999
52-Wk Range,['68.00 - 125.84']
Annual Dividend $,1.36
Annual Dividend %,0.013500000000000002
Ask,103.99
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.1
Bid,101.71
Bid Size,400.0
Closing Price,102.7
Day Change $,2.32
Day Change %,0.0231
Day High,103.1
Day Low,100.92
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",4.13
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.41200000000000003
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,14.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.31
Prev Close,100.38
Shares Outstanding,142.0M
Short Interest,0.0254
Today's Open,101.75
Volume,895892.0
Volume 10-day Avg,1055489.0
Volume Past Day,(Below Average)
