,LH
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.40142729705619984
Growth 1yr High Est,-0.025686448184233712
Growth 1yr Consensus Est,-0.21355687262021678
Growth 2yr Low Est,-0.05764360381871092
Growth 2yr High Est,0.10124768499879228
Growth 2yr Consensus Est,0.021802040590040678
Growth 5yr Low Est,0.015272165886847433
Growth 5yr High Est,0.09438528315172132
Growth 5yr Consensus Est,0.054828724519284375
Growth 5yr Actual/Est,0.09545160244091722
Growth 3yr Historic,0.04378497428917122
