,LHX
% Above Low,0.2742
% Held by Institutions,0.8289
52-Wk Range,['142.01 - 230.99']
Annual Dividend $,3.4
Annual Dividend %,0.018600000000000002
Ask,185.96
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.8
Bid,180.26
Bid Size,100.0
Closing Price,180.95
Day Change $,-1.54
Day Change %,-0.0084
Day High,184.62
Day Low,180.24
Dividend Pay Date,2020-06-16 00:00:00
"EPS (TTM, GAAP)",7.88
Ex-dividend,2020-06-01 00:00:00
Ex-dividend Date,06/01/20
Historical Volatility,0.389
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,39.2B
"P/E Ratio (TTM, GAAP)",23.15
Prev Close,182.49
Short Interest,0.0152
Today's Open,184.35
Volume,1845858.0
Volume 10-day Avg,1140481.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.1262626262626263
Growth 1yr High Est,0.1435643564356437
Growth 1yr Consensus Est,0.134913491349135
Growth 2yr Low Est,0.11066494541830874
Growth 2yr High Est,0.1410462474818911
Growth 2yr Consensus Est,0.12585559645009992
Growth 5yr Low Est,0.23223522112353073
Growth 5yr High Est,0.2517774549952768
Growth 5yr Consensus Est,0.24200633805940377
Growth 5yr Actual/Est,0.24431959878689835
Growth 3yr Historic,0.1815440255946585
Price/Earnings (TTM),23.15102
Price/Sales (TTM),3.07883
Price/Book (MRQ),1.76315
Price/Cash Flow (TTM),20.60457
5yr Low,70.1
5yr High,230.99
5yr Avg Return,0.16715
Short Int Current Month,3287304.0
Short Int Prev Month,3569714.0
Short Int Pct of Float,0.015231399999999999
Days to Cover,2.2765
Float,215.8533
Shares Outstanding,216.8962
Institutions Holding Shares,1317.0
FCF Growth 5yr,0.09066393661932895
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",23.15
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),0.29309999999999997
Operating Profit Margin (TTM),0.10980000000000001
Net Profit Margin (TTM),0.1048
Annual Dividend Yield,0.018600000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0781
EPS Growth (TTM),0.19460000000000002
Revenue Growth (MRQ),0.09050000000000001
Revenue Growth (TTM),0.9991
Return On Equity (TTM),0.10250000000000001
Return On Assets (TTM),0.0559
Return On Investment (TTM),0.0638
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.23420000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0048
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),6.46
newConstructs,3
researchTeam,hold
cfra,4
creditSuisse,outperform
theStreet,buy
ford,3
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-06-28 00:00:00
cfra since,2018-02-01 00:00:00
creditSuisse since,2017-08-28 00:00:00
theStreet since,2012-08-01 00:00:00
ford since,2020-03-27 00:00:00
marketEdge since,
