,LHX
Price/Earnings (TTM),23.15102
Price/Sales (TTM),3.07883
Price/Book (MRQ),1.76315
Price/Cash Flow (TTM),20.60457
5yr Low,70.1
5yr High,230.99
5yr Avg Return,0.16715
Short Int Current Month,3287304.0
Short Int Prev Month,3569714.0
Short Int Pct of Float,0.015231399999999999
Days to Cover,2.2765
Float,215.8533
Shares Outstanding,216.8962
Institutions Holding Shares,1317.0
% Held by Institutions,0.8288939999999999
FCF Growth 5yr,0.09066393661932895
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
