,Industry,LHX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.74,23.15,Valuation,0.8657442034405385
Price/Sales (TTM),11.03,3.08,Valuation,0.2792384406165005
Price/Book (MRQ),8.48,1.76,Valuation,0.20754716981132074
"PEG Ratio (TTM, GAAP)",0.59,1.67,Valuation,2.830508474576271
Gross Profit Margin (TTM),0.21910000000000002,0.29309999999999997,Profitability,1.3377453217708806
Operating Profit Margin (TTM),-0.37939999999999996,0.10980000000000001,Profitability,-0.28940432261465476
Net Profit Margin (TTM),-0.4044,0.1048,Profitability,-0.25914935707220577
Annual Dividend Yield,0.018000000000000002,0.018600000000000002,Dividend,1.0333333333333332
Dividend Change %,0.07490000000000001,,Dividend,
"Dividend Growth Rate, 3 Years",0.094,,Dividend,
EPS Growth (MRQ),-4.399,-0.0781,Gowth rates,0.017754035007956356
EPS Growth (TTM),-0.4537,0.19460000000000002,Gowth rates,-0.42891778708397627
Revenue Growth (MRQ),0.1533,0.09050000000000001,Gowth rates,0.5903457273320288
Revenue Growth (TTM),0.1242,0.9991,Gowth rates,8.04428341384863
Return On Equity (TTM),0.5518,0.10250000000000001,Effectiveness,0.1857557085900689
Return On Assets (TTM),0.053,0.0559,Effectiveness,1.0547169811320756
Return On Investment (TTM),0.0675,0.0638,Effectiveness,0.945185185185185
Revenue Per Employee (TTM),377657.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.6849,0.23420000000000002,Financial strength,0.34194772959556147
Change in Debt/Total Capital Quarter over Quarter,0.001,-0.0048,Financial strength,-4.8
Quick Ratio (MRQ),1.14,1.27,Financial strength,1.1140350877192984
Interest Coverage (MRQ),8.74,6.46,Financial strength,0.7391304347826086
