,LIN
% Below High,0.17309999999999998
% Held by Institutions,0.8117
52-Wk Range,['146.71 - 227.85']
Annual Dividend $,3.85
Annual Dividend %,0.0208
Ask,194.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,185.0
Bid Size,100.0
Closing Price,188.41
Day Change $,3.62
Day Change %,0.0196
Day High,188.41
Day Low,184.75
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",4.28
Ex-dividend,2020-06-02 00:00:00
Ex-dividend Date,06/02/20
Historical Volatility,0.35700000000000004
Last (size),1700.0
Last (time),6:30p ET 05/08/20
Market Cap,98.9B
"P/E Ratio (TTM, GAAP)",43.15
Prev Close,184.79
Shares Outstanding,525.2M
Short Interest,0.0116
Today's Open,184.91
Volume,1843094.0
Volume 10-day Avg,1604520.0
Volume Past Day,(Above Average)
