,LLY
% Below High,0.0691
% Held by Institutions,0.7754000000000001
52-Wk Range,['101.36 - 164.90']
Annual Dividend $,2.96
Annual Dividend %,0.0194
Ask,156.7
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.3
Bid,153.51
Bid Size,100.0
Closing Price,153.51
Day Change $,0.54
Day Change %,0.0034999999999999996
Day High,154.42
Day Low,152.55
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",6.03
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.34600000000000003
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,146.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.36
Prev Close,152.97
Shares Outstanding,956.5M
Short Interest,0.01
Today's Open,154.2
Volume,1967688.0
Volume 10-day Avg,2930635.0
Volume Past Day,(Light)
