,LNC
% Above Low,1.2749
% Held by Institutions,0.8411
52-Wk Range,['16.11 - 67.17']
Annual Dividend $,1.6
Annual Dividend %,0.046
Ask,37.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.2
Bid,35.0
Bid Size,500.0
Closing Price,36.65
Day Change $,1.88
Day Change %,0.0541
Day High,36.74
Day Low,34.78
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.833
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,7.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.44
Prev Close,34.77
Shares Outstanding,193.2M
Short Interest,0.0446
Today's Open,35.78
Volume,2829547.0
Volume 10-day Avg,2303110.0
Volume Past Day,(Heavy Day)
