,LNT
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.004366812227074357
Growth 1yr High Est,0.05579399141630903
Growth 1yr Consensus Est,0.025713589594617337
Growth 2yr Low Est,0.059220102658392726
Growth 2yr High Est,0.05838480058620332
Growth 2yr Consensus Est,0.058802451622298024
Growth 5yr Low Est,0.07577924914851103
Growth 5yr High Est,0.07309291717880734
Growth 5yr Consensus Est,0.07443608316365918
Growth 5yr Actual/Est,0.07570684060540644
Growth 3yr Historic,0.04952126262505674
