,LOW
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.17553191489361686
Growth 1yr High Est,0.13893653516295013
Growth 1yr Consensus Est,-0.018297689865333366
Growth 2yr Low Est,-0.04583047357584075
Growth 2yr High Est,0.16585380975014974
Growth 2yr Consensus Est,0.060011668087154496
Growth 5yr Low Est,0.03937317668980875
Growth 5yr High Est,0.1470470386667686
Growth 5yr Consensus Est,0.09321010767828868
Growth 5yr Actual/Est,0.12016689281738002
Growth 3yr Historic,0.07229554692036266
