,LRCX
Price/Earnings (TTM),17.81148
Price/Sales (TTM),3.73897
Price/Book (MRQ),7.92157
Price/Cash Flow (TTM),15.23316
5yr Low,61.2
5yr High,344.32
5yr Avg Return,0.32293333333333335
EPS Growth 5yr,0.3048036
Revenue Growth 5yr,0.1594393
Dividend Growth 5yr,0.895117
Short Int Current Month,3917169.0
Short Int Prev Month,3599206.0
Short Int Pct of Float,0.027003
Days to Cover,2.03778
Float,144.7051
Shares Outstanding,145.1622
Institutions Holding Shares,1356.0
% Held by Institutions,0.881472
FCF Growth 5yr,0.4140168117277142
