,LUV
Price/Earnings (TTM),7.63501
Price/Sales (TTM),0.69728
Price/Book (MRQ),1.45567
Price/Cash Flow (TTM),4.96355
5yr Low,24.77
5yr High,66.99
5yr Avg Return,-0.021
EPS Growth 5yr,0.20778639999999998
Revenue Growth 5yr,0.038083200000000005
Dividend Growth 5yr,
Short Int Current Month,8369116.0
Short Int Prev Month,9672114.0
Short Int Pct of Float,0.0165248
Days to Cover,0.91546
Float,587.4458
Shares Outstanding,589.3856
Institutions Holding Shares,1121.0
% Held by Institutions,0.74092
FCF Growth 5yr,0.29874397303594186
