,2015,2016,2017,2018,2019,2020,Report
high,51.34,51.31,66.99,66.52,58.77,58.83,
low,31.36,33.96,48.71,44.28,44.61,24.77,
change,0.0026000000000000003,0.1952,0.2986,-0.2948,0.1722,-0.49979999999999997,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1583.0,1680.0,1495.0,1854.0,2548.0,,Balance Sheet
Short Term Investments,1468.0,1625.0,1778.0,1835.0,1524.0,,Balance Sheet
Cash and Short Term Invs,3051.0,3305.0,3273.0,3689.0,4072.0,,Balance Sheet
"Total Receivables, Net",474.0,546.0,662.0,568.0,1086.0,,Balance Sheet
Total Inventory,311.0,337.0,420.0,461.0,529.0,,Balance Sheet
Prepaid Expenses,188.0,310.0,363.0,267.0,239.0,,Balance Sheet
"Other Curr. Assets, Total",,,97.0,43.0,48.0,,Balance Sheet
Total Current Assets,4024.0,4498.0,4815.0,5028.0,5974.0,,Balance Sheet
Land/Improvements,3219.0,3779.0,4399.0,4960.0,5672.0,,Balance Sheet
Machinery/Equipment,19462.0,20275.0,21368.0,21753.0,21629.0,,Balance Sheet
Other Prop./Plant/Equip.,2004.0,2410.0,2462.0,2543.0,1761.0,,Balance Sheet
Prop./Plant/Equip. - Gross,24685.0,26464.0,28229.0,29256.0,29062.0,,Balance Sheet
Accumulated Depreciation,-9084.0,-9420.0,-9690.0,-9731.0,-10688.0,,Balance Sheet
Prop./Plant/Equip. - Net,15601.0,17044.0,18539.0,19525.0,18374.0,,Balance Sheet
"Goodwill, Net",970.0,970.0,970.0,970.0,970.0,,Balance Sheet
Intangibles - Gross,574.0,549.0,,502.0,309.0,,Balance Sheet
Accum. Intangible Amort.,-110.0,-123.0,,-103.0,-13.0,,Balance Sheet
Intangibles - Net,464.0,426.0,413.0,400.0,296.0,,Balance Sheet
Long Term Investments,,120.0,136.0,95.0,62.0,,Balance Sheet
Note Rcvble - Long Term,40.0,90.0,76.0,61.0,0.0,,Balance Sheet
Other Long Term Assets,213.0,138.0,156.0,164.0,219.0,,Balance Sheet
Total Assets,21312.0,23286.0,25110.0,26243.0,25895.0,,Balance Sheet
Accounts Payable,394.0,259.0,347.0,454.0,595.0,,Balance Sheet
Accrued Expenses,2121.0,2027.0,1901.0,1965.0,2333.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,637.0,566.0,348.0,606.0,819.0,,Balance Sheet
Customer Advances,2990.0,3115.0,3495.0,4134.0,4457.0,,Balance Sheet
Income Taxes Payable,179.0,184.0,203.0,220.0,227.0,,Balance Sheet
Other Payables,442.0,535.0,569.0,526.0,521.0,,Balance Sheet
Other Current Liabilities,643.0,158.0,,,,,Balance Sheet
"Other Curr. Lblts, Total",4254.0,3992.0,4267.0,4880.0,5205.0,,Balance Sheet
Total Current Liabilities,7406.0,6844.0,6863.0,7905.0,8952.0,,Balance Sheet
Long Term Debt,2541.0,2821.0,3320.0,2771.0,868.0,,Balance Sheet
Capital Lease Obligations,165.0,125.0,85.0,48.0,978.0,,Balance Sheet
Total Long Term Debt,2706.0,2946.0,3405.0,2819.0,1846.0,,Balance Sheet
Total Debt,3343.0,3512.0,3753.0,3425.0,2665.0,,Balance Sheet
Deferred Income Tax,2490.0,3374.0,2119.0,2427.0,2364.0,,Balance Sheet
Pension Benefits - Underfunded,201.0,256.0,275.0,232.0,288.0,,Balance Sheet
Other LT Liabilities,1151.0,1425.0,2807.0,3007.0,2613.0,,Balance Sheet
"Other Liabilities, Total",1352.0,1681.0,3082.0,3239.0,2901.0,,Balance Sheet
Total Liabilities,13954.0,14845.0,15469.0,16390.0,16063.0,,Balance Sheet
Common Stock,808.0,808.0,808.0,808.0,808.0,,Balance Sheet
Additional Paid-In Capital,1374.0,1410.0,1451.0,1510.0,1581.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),9409.0,11418.0,13832.0,15967.0,17945.0,,Balance Sheet
Treasury Stock - Common,-3182.0,-4872.0,-6462.0,-8452.0,-10441.0,,Balance Sheet
Min. Pension Lblty Adj.,22.0,-14.0,,58.0,20.0,,Balance Sheet
Other Comprehensive Income,-1073.0,-309.0,12.0,-38.0,-81.0,,Balance Sheet
"Other Equity, Total",-1051.0,-323.0,12.0,20.0,-61.0,,Balance Sheet
Total Equity,7358.0,8441.0,9641.0,9853.0,9832.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,21312.0,23286.0,25110.0,26243.0,25895.0,,Balance Sheet
Ttl Comm. Shares Outs.,676.0,648.0,589.0,553.0,519.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,132.0,160.0,219.0,255.0,289.0,,Balance Sheet
