,Industry,LUV,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.76,7.64,Valuation,1.1301775147928994
Price/Sales (TTM),0.41,0.7,Valuation,1.7073170731707317
Price/Book (MRQ),0.86,1.46,Valuation,1.697674418604651
"PEG Ratio (TTM, GAAP)",1.56,0.76,Valuation,0.48717948717948717
Gross Profit Margin (TTM),0.6256,0.7411,Profitability,1.1846227621483374
Operating Profit Margin (TTM),0.0956,0.10890000000000001,Profitability,1.139121338912134
Net Profit Margin (TTM),0.0632,0.08310000000000001,Profitability,1.3148734177215189
Annual Dividend Yield,0.0046,,Dividend,
Dividend Change %,0.0895,0.157,Dividend,1.7541899441340782
"Dividend Growth Rate, 3 Years",0.17079999999999998,0.2313,Dividend,1.3542154566744733
EPS Growth (MRQ),-7.414,-1.1996,Gowth rates,0.16180199622336122
EPS Growth (TTM),-0.0433,-0.2097,Gowth rates,4.842956120092379
Revenue Growth (MRQ),-0.1608,-0.2611,Gowth rates,1.6237562189054726
Revenue Growth (TTM),-0.0069,-0.029700000000000004,Gowth rates,4.304347826086957
Return On Equity (TTM),0.15710000000000002,0.1895,Effectiveness,1.206238064926798
Return On Assets (TTM),0.0417,0.067,Effectiveness,1.6067146282973621
Return On Investment (TTM),0.061399999999999996,0.10400000000000001,Effectiveness,1.693811074918567
Revenue Per Employee (TTM),403474.0,353816.0,Effectiveness,0.8769239157913521
Total Debt/Total Capital (MRQ),0.4855,0.359,Financial strength,0.7394438722966015
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0058,Financial strength,2.0
Quick Ratio (MRQ),0.48,0.64,Financial strength,1.3333333333333335
Interest Coverage (MRQ),-16.22,-18.33,Financial strength,1.130086313193588
