,LVS
% Above Low,0.5297
% Held by Institutions,0.3746
52-Wk Range,['33.30 - 74.29']
Annual Dividend $,
Annual Dividend %,
Ask,51.3
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.6
Bid,50.9
Bid Size,500.0
Closing Price,50.94
Day Change $,3.57
Day Change %,0.0754
Day High,51.06
Day Low,48.05
Dividend Pay Date,03/26/20
"EPS (TTM, GAAP)",2.75
Ex-dividend Date,03/17/20
Historical Volatility,0.526
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,38.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.25
Prev Close,47.37
Short Interest,0.044000000000000004
Today's Open,48.69
Volume,7311209.0
Volume 10-day Avg,9460829.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-1.3228070175438598
Growth 1yr High Est,-0.6604938271604939
Growth 1yr Consensus Est,-0.9916504223521768
Growth 2yr Low Est,-1.7157513348588864
Growth 2yr High Est,0.6561167227833894
Growth 2yr Consensus Est,-0.5298173060377485
Growth 5yr Low Est,-1.1918822712873056
Growth 5yr High Est,0.4074486017057802
Growth 5yr Consensus Est,-0.3922168347907627
Growth 5yr Actual/Est,10.023109470494182
Growth 3yr Historic,0.018508243500317045
Price/Earnings (TTM),17.24703
Price/Sales (TTM),3.04656
Price/Book (MRQ),8.06208
Price/Cash Flow (TTM),9.83897
5yr Low,33.3
5yr High,81.45
5yr Avg Return,0.035750000000000004
EPS Growth 5yr,-0.0009232999999999999
Revenue Growth 5yr,-0.011864300000000001
Dividend Growth 5yr,
Short Int Current Month,14543963.0
Short Int Prev Month,13598506.0
Short Int Pct of Float,0.043982900000000005
Days to Cover,2.2742
Float,330.4027
Shares Outstanding,763.7297
Institutions Holding Shares,909.0
FCF Growth 5yr,0.05255368166960579
"Price/Earnings (TTM, GAAP)",17.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.49310000000000004
Operating Profit Margin (TTM),0.2791
Net Profit Margin (TTM),0.2113
Annual Dividend Yield,
Dividend Change %,0.0267
"Dividend Growth Rate, 3 Years",0.0226
EPS Growth (MRQ),-1.0016
EPS Growth (TTM),-0.051100000000000007
Revenue Growth (MRQ),-0.4922
Revenue Growth (TTM),-0.1392
Return On Equity (TTM),0.42240000000000005
Return On Assets (TTM),0.11539999999999999
Return On Investment (TTM),0.1384
Revenue Per Employee (TTM),237500.0
Total Debt/Total Capital (MRQ),0.6931
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),0.51
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,4
marketEdge opinion,avoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-08 00:00:00
theStreet since,2020-03-25 00:00:00
cfra since,2020-04-24 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-08-13 00:00:00
