,LW
Price/Earnings (TTM),17.1283
Price/Sales (TTM),2.04955
Price/Book (MRQ),29.93143
Price/Cash Flow (TTM),13.32698
5yr Low,28.75
5yr High,96.32
5yr Avg Return,0.17486000000000002
EPS Growth 5yr,0.1207283
Revenue Growth 5yr,0.059387499999999996
Dividend Growth 5yr,
Short Int Current Month,4964354.0
Short Int Prev Month,3611388.0
Short Int Pct of Float,0.0342747
Days to Cover,2.52448
Float,144.8374
Shares Outstanding,146.0389
Institutions Holding Shares,832.0
% Held by Institutions,0.879146
FCF Growth 5yr,0.09323317087853764
