,M
Price/Earnings (TTM),2.80671
Price/Sales (TTM),0.0621
Price/Book (MRQ),0.24615
Price/Cash Flow (TTM),1.0182
5yr Low,4.38
5yr High,73.61
5yr Avg Return,-0.2802
EPS Growth 5yr,-0.1555945
Revenue Growth 5yr,-0.0205692
Dividend Growth 5yr,
Short Int Current Month,91023666.0
Short Int Prev Month,88612667.0
Short Int Pct of Float,0.2945364
Days to Cover,2.17422
Float,309.3113
Shares Outstanding,309.6703
Institutions Holding Shares,688.0
% Held by Institutions,0.9454340000000001
FCF Growth 5yr,-0.09737484991076342
