,M
% Above Low,0.226
% Held by Institutions,0.9454
52-Wk Range,['4.38 - 23.40']
Annual Dividend $,
Annual Dividend %,
Ask,5.4
Ask Size,2900.0
B/A Ratio,2.413793103448276
B/A Size,7000x2900
Beta,1.6
Bid,5.38
Bid Size,7000.0
Closing Price,5.37
Day Change $,0.29
Day Change %,0.0571
Day High,5.37
Day Low,5.19
Dividend Pay Date,04/01/20
"EPS (TTM, GAAP)",1.81
Ex-dividend Date,03/12/20
Historical Volatility,0.7170000000000001
Last (size),114.0
Last (time),6:30p ET 05/08/20
Market Cap,1.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.81
Prev Close,5.08
Shares Outstanding,309.7M
Short Interest,0.2945
Today's Open,5.26
Volume,25397488.0
Volume 10-day Avg,35109832.0
Volume Past Day,(Light)
