,MAS
% Below High,0.1582
% Held by Institutions,0.9858
52-Wk Range,['27.04 - 50.06']
Annual Dividend $,0.54
Annual Dividend %,0.013000000000000001
Ask,42.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,39.3
Bid Size,100.0
Closing Price,42.14
Day Change $,0.59
Day Change %,0.014199999999999999
Day High,42.45
Day Low,41.83
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",2.33
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.40700000000000003
Last (size),3500.0
Last (time),6:30p ET 05/08/20
Market Cap,11.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,41.55
Short Interest,0.0368
Today's Open,41.83
Volume,3792203.0
Volume 10-day Avg,3734567.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.21363636363636374
Growth 1yr High Est,0.1428571428571428
Growth 1yr Consensus Est,-0.03538961038961047
Growth 2yr Low Est,0.008788754598003046
Growth 2yr High Est,0.1397879464285714
Growth 2yr Consensus Est,0.07428835051328722
Growth 5yr Low Est,0.04377696971420597
Growth 5yr High Est,0.1097189907538012
Growth 5yr Consensus Est,0.07674798023400359
Growth 5yr Actual/Est,0.0727205040091638
Growth 3yr Historic,0.047164948453608274
Price/Earnings (TTM),17.80747
Price/Sales (TTM),1.61757
Price/Book (MRQ),
Price/Cash Flow (TTM),13.06202
5yr Low,22.52
5yr High,50.06
5yr Avg Return,0.13253333333333336
EPS Growth 5yr,-0.0070359
Revenue Growth 5yr,-0.0086851
Dividend Growth 5yr,0.0844718
Short Int Current Month,9640496.0
Short Int Prev Month,10372512.0
Short Int Pct of Float,0.0368337
Days to Cover,2.44916
Float,262.8132
Shares Outstanding,263.7554
Institutions Holding Shares,874.0
FCF Growth 5yr,0.02301172154643314
"Price/Earnings (TTM, GAAP)",17.81
"PEG Ratio (TTM, GAAP)",1.98
Gross Profit Margin (TTM),0.35369999999999996
Operating Profit Margin (TTM),0.16469999999999999
Net Profit Margin (TTM),0.10439999999999999
Annual Dividend Yield,0.013000000000000001
Dividend Change %,0.1379
"Dividend Growth Rate, 3 Years",0.0874
EPS Growth (MRQ),0.4617
EPS Growth (TTM),0.1981
Revenue Growth (MRQ),0.7184999999999999
Revenue Growth (TTM),0.08449999999999999
Return On Equity (TTM),
Return On Assets (TTM),0.1354
Return On Investment (TTM),0.21300000000000002
Revenue Per Employee (TTM),376389.0
Total Debt/Total Capital (MRQ),1.0632
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),6.43
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,-1
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-30 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-20 00:00:00
cfra since,2020-04-30 00:00:00
ford since,2017-10-06 00:00:00
creditSuisse since,
