,MAS
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.21363636363636374
Growth 1yr High Est,0.1428571428571428
Growth 1yr Consensus Est,-0.03538961038961047
Growth 2yr Low Est,0.008788754598003046
Growth 2yr High Est,0.1397879464285714
Growth 2yr Consensus Est,0.07428835051328722
Growth 5yr Low Est,0.04377696971420597
Growth 5yr High Est,0.1097189907538012
Growth 5yr Consensus Est,0.07674798023400359
Growth 5yr Actual/Est,0.0727205040091638
Growth 3yr Historic,0.047164948453608274
