,MAS
% Below High,0.1582
% Held by Institutions,0.9858
52-Wk Range,['27.04 - 50.06']
Annual Dividend $,0.54
Annual Dividend %,0.013000000000000001
Ask,42.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,39.3
Bid Size,100.0
Closing Price,42.14
Day Change $,0.59
Day Change %,0.014199999999999999
Day High,42.45
Day Low,41.83
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",2.33
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.40700000000000003
Last (size),3500.0
Last (time),6:30p ET 05/08/20
Market Cap,11.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,41.55
Shares Outstanding,263.8M
Short Interest,0.0368
Today's Open,41.83
Volume,3792203.0
Volume 10-day Avg,3734567.0
Volume Past Day,(Average)
