,2015,2016,2017,2018,2019,2020,Report
high,50.71,66.81,95.92,104.2,106.16,112.47,
low,37.77,39.01,62.21,60.7,66.16,53.15,
change,-0.0496,0.40490000000000004,0.36229999999999996,-0.1881,0.4903,-0.154,
Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,,Balance Sheet
Cash & Equivalents,608.0,2093.0,909.0,901.0,429.0,,Balance Sheet
Short Term Investments,1351.0,353.0,394.0,1295.0,2.0,,Balance Sheet
Cash and Short Term Invs,1959.0,2446.0,1303.0,2197.0,431.0,,Balance Sheet
"Trade Accts Recvble, Gross",270.0,289.0,473.0,558.0,876.0,,Balance Sheet
Prov. for Doubtful Accts,-3.0,-3.0,-2.0,-2.0,-2.0,,Balance Sheet
"Trade Accts Recvble, Net",267.0,286.0,471.0,556.0,874.0,,Balance Sheet
Other Receivables,7.0,4.0,7.0,8.0,7.0,,Balance Sheet
"Total Receivables, Net",274.0,290.0,478.0,564.0,881.0,,Balance Sheet
Invent. - Finished Goods,69.0,86.0,134.0,138.0,224.0,,Balance Sheet
Invent. - Work In Progress,198.0,208.0,268.0,312.0,413.0,,Balance Sheet
Invent. - Raw Materials,13.0,12.0,14.0,26.0,75.0,,Balance Sheet
Total Inventory,279.0,307.0,417.0,476.0,712.0,,Balance Sheet
Prepaid Expenses,35.0,42.0,41.0,64.0,,,Balance Sheet
Deferred Income Tax,381.0,399.0,409.0,206.0,706.0,,Balance Sheet
Discont. Ops.-Curr. Assets,14.0,0.0,6.0,0.0,,,Balance Sheet
Other Current Assets,33.0,12.0,59.0,56.0,192.0,,Balance Sheet
"Other Curr. Assets, Total",118.0,12.0,65.0,56.0,192.0,,Balance Sheet
Total Current Assets,2665.0,3097.0,2305.0,3356.0,2215.0,,Balance Sheet
Buildings,434.0,458.0,500.0,509.0,648.0,,Balance Sheet
Land/Improvements,56.0,64.0,73.0,73.0,83.0,,Balance Sheet
Machinery/Equipment,1576.0,1646.0,1775.0,1944.0,2096.0,,Balance Sheet
Construction in Progress,76.0,99.0,104.0,118.0,119.0,,Balance Sheet
Prop./Plant/Equip. - Gross,2142.0,2267.0,2452.0,2644.0,2946.0,,Balance Sheet
Accumulated Depreciation,-1561.0,-1658.0,-1769.0,-1876.0,-1949.0,,Balance Sheet
Prop./Plant/Equip. - Net,582.0,609.0,683.0,768.0,997.0,,Balance Sheet
"Goodwill, Net",571.0,1013.0,2299.0,2299.0,6664.0,,Balance Sheet
Intangibles - Gross,949.0,1075.0,2707.0,2683.0,8345.0,,Balance Sheet
