,MCHP
% Below High,0.2025
% Held by Institutions,1.0731
52-Wk Range,['53.15 - 112.47']
Annual Dividend $,1.47
Annual Dividend %,0.0172
Ask,90.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,89.7
Bid Size,100.0
Closing Price,89.7
Day Change $,4.2
Day Change %,0.049100000000000005
Day High,89.83
Day Low,83.5
Dividend Pay Date,2020-03-06 00:00:00
"EPS (TTM, GAAP)",2.53
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.588
Last (size),35.0
Last (time),4:00p ET 05/08/20
Market Cap,21.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.84
Prev Close,85.5
Shares Outstanding,244.7M
Short Interest,0.1293
Today's Open,84.84
Volume,3384974.0
Volume 10-day Avg,2854189.0
Volume Past Day,(Above Average)
