,MCO
% Below High,0.12359999999999999
% Held by Institutions,0.9297
52-Wk Range,['164.19 - 287.25']
Annual Dividend $,2.24
Annual Dividend %,0.009000000000000001
Ask,263.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,240.0
Bid Size,100.0
Closing Price,251.75
Day Change $,4.06
Day Change %,0.016399999999999998
Day High,253.72
Day Low,249.75
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",8.06
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.48600000000000004
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,47.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.72
Prev Close,247.69
Shares Outstanding,187.5M
Short Interest,0.0115
Today's Open,251.74
Volume,576607.0
Volume 10-day Avg,965341.0
Volume Past Day,(Light)
