,MDT
% Below High,0.1893
% Held by Institutions,0.8273999999999999
52-Wk Range,['72.13 - 122.15']
Annual Dividend $,2.16
Annual Dividend %,0.0218
Ask,99.5
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.7
Bid,99.04
Bid Size,100.0
Closing Price,99.03
Day Change $,0.09
Day Change %,0.0009
Day High,100.65
Day Low,98.13
Dividend Pay Date,2020-04-17 00:00:00
"EPS (TTM, GAAP)",3.91
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.363
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,132.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.33
Prev Close,98.94
Short Interest,0.0070999999999999995
Today's Open,100.42
Volume,4278530.0
Volume 10-day Avg,4583191.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.1914062500000001
Growth 1yr High Est,0.013565891472868241
Growth 1yr Consensus Est,-0.08892017926356593
Growth 2yr Low Est,-0.1488432216183575
Growth 2yr High Est,0.03833170290660615
Growth 2yr Consensus Est,-0.05525575935587568
Growth 5yr Low Est,-0.04332327585808493
Growth 5yr High Est,0.047750012390405217
Growth 5yr Consensus Est,0.002213368266160143
Growth 5yr Actual/Est,-0.00032549274402407513
Growth 3yr Historic,0.032824036095159936
Price/Earnings (TTM),25.32598
Price/Sales (TTM),4.26875
Price/Book (MRQ),2.56056
Price/Cash Flow (TTM),16.63272
5yr Low,55.54
5yr High,122.15
5yr Avg Return,0.056716666666666665
EPS Growth 5yr,0.0249411
Revenue Growth 5yr,0.12436370000000001
Dividend Growth 5yr,0.1229551
Short Int Current Month,9560289.0
Short Int Prev Month,12453684.0
Short Int Pct of Float,0.007139100000000001
Days to Cover,1.50237
Float,1339.195
Shares Outstanding,1340.166
Institutions Holding Shares,2384.0
FCF Growth 5yr,0.11574047235109863
"Price/Earnings (TTM, GAAP)",25.33
"PEG Ratio (TTM, GAAP)",3.39
Gross Profit Margin (TTM),0.6946
Operating Profit Margin (TTM),0.1778
Net Profit Margin (TTM),0.1711
Annual Dividend Yield,0.021800000000000003
Dividend Change %,0.087
"Dividend Growth Rate, 3 Years",0.0958
EPS Growth (MRQ),0.40390000000000004
EPS Growth (TTM),0.0694
Revenue Growth (MRQ),0.0014000000000000002
Revenue Growth (TTM),0.0166
Return On Equity (TTM),0.1039
Return On Assets (TTM),0.058499999999999996
Return On Investment (TTM),0.0649
Revenue Per Employee (TTM),344861.0
Total Debt/Total Capital (MRQ),0.3299
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),2.28
Interest Coverage (MRQ),13.17
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-05-22 00:00:00
cfra since,2013-05-21 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2018-12-17 00:00:00
