,MDT
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.1914062500000001
Growth 1yr High Est,0.013565891472868241
Growth 1yr Consensus Est,-0.08892017926356593
Growth 2yr Low Est,-0.1488432216183575
Growth 2yr High Est,0.03833170290660615
Growth 2yr Consensus Est,-0.05525575935587568
Growth 5yr Low Est,-0.04332327585808493
Growth 5yr High Est,0.047750012390405217
Growth 5yr Consensus Est,0.002213368266160143
Growth 5yr Actual/Est,-0.00032549274402407513
Growth 3yr Historic,0.032824036095159936
