,MET
Price/Earnings (TTM),3.66758
Price/Sales (TTM),0.43632
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,22.85
5yr High,58.23
5yr Avg Return,-0.042833333333333334
EPS Growth 5yr,0.022570800000000002
Revenue Growth 5yr,-0.0100847
Dividend Growth 5yr,0.0560067
Short Int Current Month,18199528.0
Short Int Prev Month,16025594.0
Short Int Pct of Float,0.0234959
Days to Cover,2.94708
Float,767.7954
Shares Outstanding,909.1066
Institutions Holding Shares,1399.0
% Held by Institutions,0.746841
FCF Growth 5yr,
