,MET
% Above Low,0.5414
% Held by Institutions,0.7468
52-Wk Range,['22.85 - 53.28']
Annual Dividend $,1.84
Annual Dividend %,0.053399999999999996
Ask,36.0
Ask Size,1300.0
B/A Ratio,0.15384615384615385
B/A Size,200x1300
Beta,1.3
Bid,35.25
Bid Size,200.0
Closing Price,35.22
Day Change $,0.78
Day Change %,0.0226
Day High,35.33
Day Low,33.83
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",9.39
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.526
Last (size),460.0
Last (time),6:30p ET 05/08/20
Market Cap,32.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.67
Prev Close,34.44
Shares Outstanding,909.1M
Short Interest,0.0235
Today's Open,35.24
Volume,8669772.0
Volume 10-day Avg,6794797.0
Volume Past Day,(Heavy Day)
