,MGM
Price/Earnings (TTM),2.68637
Price/Sales (TTM),0.6149
Price/Book (MRQ),0.90077
Price/Cash Flow (TTM),1.7833
5yr Low,5.9
5yr High,38.41
5yr Avg Return,0.03213333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0505253
Dividend Growth 5yr,
Short Int Current Month,27904591.0
Short Int Prev Month,17658797.0
Short Int Pct of Float,0.057180600000000005
Days to Cover,0.95964
Float,489.3501
Shares Outstanding,493.2177
Institutions Holding Shares,662.0
% Held by Institutions,0.866696
FCF Growth 5yr,0.46958670072546094
