,MHK
% Above Low,0.4988
% Held by Institutions,0.863
52-Wk Range,['56.62 - 156.60']
Annual Dividend $,
Annual Dividend %,
Ask,93.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,76.0
Bid Size,100.0
Closing Price,84.86
Day Change $,4.49
Day Change %,0.0559
Day High,85.42
Day Low,81.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.19
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),2800.0
Last (time),6:30p ET 05/08/20
Market Cap,6.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.89
Prev Close,80.37
Shares Outstanding,71.2M
Short Interest,0.0608
Today's Open,82.35
Volume,672712.0
Volume 10-day Avg,827603.0
Volume Past Day,(Below Average)
