,MLM
Price/Earnings (TTM),18.95204
Price/Sales (TTM),2.35043
Price/Book (MRQ),2.11145
Price/Cash Flow (TTM),11.50204
5yr Low,108.31
5yr High,281.82
5yr Avg Return,0.09468333333333331
EPS Growth 5yr,0.2912264
Revenue Growth 5yr,0.0988565
Dividend Growth 5yr,0.0518394
Short Int Current Month,2024600.0
Short Int Prev Month,1982002.0
Short Int Pct of Float,0.0329375
Days to Cover,2.24026
Float,61.54669
Shares Outstanding,62.24137
Institutions Holding Shares,825.0
% Held by Institutions,0.968958
FCF Growth 5yr,0.2069391506596352
