,Industry,MMC,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.46,29.17,Valuation,2.5453752181500873
Price/Sales (TTM),3.79,2.99,Valuation,0.7889182058047494
Price/Book (MRQ),2.1,7.05,Valuation,3.3571428571428568
"PEG Ratio (TTM, GAAP)",0.13,5.6,Valuation,43.07692307692307
Gross Profit Margin (TTM),0.0173,,Profitability,
Operating Profit Margin (TTM),0.0944,0.1612,Profitability,1.707627118644068
Net Profit Margin (TTM),0.063,0.1052,Profitability,1.66984126984127
Annual Dividend Yield,0.0273,0.0179,Dividend,0.6556776556776556
Dividend Change %,0.0632,0.10130000000000002,Dividend,1.6028481012658229
"Dividend Growth Rate, 3 Years",0.10650000000000001,0.10210000000000001,Dividend,0.9586854460093897
EPS Growth (MRQ),-0.1627,0.9322,Gowth rates,-5.7295636140135215
EPS Growth (TTM),0.8871,0.0674,Gowth rates,0.07597790553488896
Revenue Growth (MRQ),0.1729,0.0908,Gowth rates,0.525159051474841
Revenue Growth (TTM),0.1027,0.1472,Gowth rates,1.433300876338851
Return On Equity (TTM),0.11080000000000001,0.2341,Effectiveness,2.112815884476534
Return On Assets (TTM),0.028300000000000002,0.0589,Effectiveness,2.0812720848056534
Return On Investment (TTM),0.016200000000000003,0.0745,Effectiveness,4.598765432098764
Revenue Per Employee (TTM),1235592.0,226737.0,Effectiveness,0.18350474914049297
Total Debt/Total Capital (MRQ),0.2686,0.6467,Financial strength,2.4076693968726732
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0,Financial strength,0.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),9.96,9.23,Financial strength,0.9267068273092369
