,MMM
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.16017797552836488
Growth 1yr High Est,-0.024070021881838155
Growth 1yr Consensus Est,-0.09212399870510152
Growth 2yr Low Est,-0.039029385115175785
Growth 2yr High Est,0.026081580987332043
Growth 2yr Consensus Est,-0.006473902063921871
Growth 5yr Low Est,-0.021172151121123806
Growth 5yr High Est,0.010067817520693051
Growth 5yr Consensus Est,-0.005552166800215377
Growth 5yr Actual/Est,-0.0018947099603917883
Growth 3yr Historic,0.0021862378568405505
