,MNST
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.01980198019801982
Growth 1yr High Est,0.33333333333333326
Growth 1yr Consensus Est,0.15676567656765672
Growth 2yr Low Est,0.048179817981798156
Growth 2yr High Est,0.130952380952381
Growth 2yr Consensus Est,0.08956609946708957
Growth 5yr Low Est,0.0879965645890215
Growth 5yr High Est,0.13234663234663235
Growth 5yr Consensus Est,0.11017159846782693
Growth 5yr Actual/Est,0.1497030742640632
Growth 3yr Historic,0.10707434052757797
