,MPC
% Above Low,1.1645
% Held by Institutions,0.7439
52-Wk Range,['15.26 - 69.65']
Annual Dividend $,2.32
Annual Dividend %,0.0754
Ask,33.24
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,2.2
Bid,33.11
Bid Size,200.0
Closing Price,33.03
Day Change $,2.25
Day Change %,0.0731
Day High,33.33
Day Low,31.08
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",-10.25
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.755
Last (size),49.0
Last (time),6:30p ET 05/08/20
Market Cap,21.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,30.78
Shares Outstanding,650.0M
Short Interest,0.0316
Today's Open,31.64
Volume,8064345.0
Volume 10-day Avg,11066304.0
Volume Past Day,(Light)
