,MSCI
% Below High,0.030299999999999997
% Held by Institutions,0.9384999999999999
52-Wk Range,['206.82 - 344.00']
Annual Dividend $,2.72
Annual Dividend %,0.008100000000000001
Ask,334.9
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,307.0
Bid Size,200.0
Closing Price,333.58
Day Change $,-0.52
Day Change %,-0.0016
Day High,340.52
Day Low,332.0
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",6.24
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.48700000000000004
Last (size),4500.0
Last (time),6:30p ET 05/08/20
Market Cap,27.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",53.54
Prev Close,334.1
Short Interest,0.0178
Today's Open,338.37
Volume,414224.0
Volume 10-day Avg,530066.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.08000000000000007
Growth 1yr High Est,0.14393939393939403
Growth 1yr Consensus Est,0.11196969696969705
Growth 2yr Low Est,0.09481481481481491
Growth 2yr High Est,0.13554585591009438
Growth 2yr Consensus Est,0.11518033536245464
Growth 5yr Low Est,0.19164092664092675
Growth 5yr High Est,0.22076924330678116
Growth 5yr Consensus Est,0.20620508497385395
Growth 5yr Actual/Est,0.19050092253154016
Growth 3yr Historic,0.1369898558211619
Price/Earnings (TTM),53.54295
Price/Sales (TTM),17.42104
Price/Book (MRQ),
Price/Cash Flow (TTM),45.43644
5yr Low,56.87
5yr High,344.0
5yr Avg Return,0.34638333333333327
EPS Growth 5yr,0.3110098
Revenue Growth 5yr,0.09343
Dividend Growth 5yr,0.6952182
Short Int Current Month,1466103.0
Short Int Prev Month,1537479.0
Short Int Pct of Float,0.0177995
Days to Cover,2.1659
Float,80.93177
Shares Outstanding,83.5957
Institutions Holding Shares,889.0
FCF Growth 5yr,0.22169780744498166
"Price/Earnings (TTM, GAAP)",53.54
"PEG Ratio (TTM, GAAP)",5.05
Gross Profit Margin (TTM),0.8208
Operating Profit Margin (TTM),0.49960000000000004
Net Profit Margin (TTM),0.33280000000000004
Annual Dividend Yield,0.008100000000000001
Dividend Change %,0.3125
"Dividend Growth Rate, 3 Years",0.3608
EPS Growth (MRQ),0.2064
EPS Growth (TTM),-0.0285
Revenue Growth (MRQ),0.025
Revenue Growth (TTM),0.1026
Return On Equity (TTM),
Return On Assets (TTM),0.1481
Return On Investment (TTM),0.18760000000000002
Revenue Per Employee (TTM),472083.0
Total Debt/Total Capital (MRQ),1.1258
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.66
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-09-10 00:00:00
cfra since,2020-01-31 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
