,MU
% Below High,0.2115
% Held by Institutions,0.7979
52-Wk Range,['31.13 - 61.19']
Annual Dividend $,
Annual Dividend %,
Ask,48.38
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.6
Bid,48.34
Bid Size,500.0
Closing Price,48.25
Day Change $,1.66
Day Change %,0.0356
Day High,48.46
Day Low,47.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.0
Ex-dividend Date,No dividend
Historical Volatility,0.59
Last (size),80.0
Last (time),4:15p ET 05/08/20
Market Cap,53.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.35
Prev Close,46.59
Shares Outstanding,1.1B
Short Interest,0.0348
Today's Open,47.29
Volume,17444957.0
Volume 10-day Avg,22657345.0
Volume Past Day,(Light)
