,MXIM
% Below High,0.1766
% Held by Institutions,0.9197
52-Wk Range,['41.93 - 65.73']
Annual Dividend $,1.92
Annual Dividend %,0.0363
Ask,54.8
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,53.26
Bid Size,200.0
Closing Price,54.12
Day Change $,1.27
Day Change %,0.024
Day High,54.16
Day Low,52.9
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2020-05-27 00:00:00
Ex-dividend Date,05/27/20
Historical Volatility,0.429
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,14.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.79
Prev Close,52.85
Shares Outstanding,266.6M
Short Interest,0.022400000000000003
Today's Open,53.08
Volume,1799103.0
Volume 10-day Avg,3161080.0
Volume Past Day,(Light)
