,MYL
% Above Low,0.378
% Held by Institutions,0.8534
52-Wk Range,['12.75 - 23.19']
Annual Dividend $,
Annual Dividend %,
Ask,18.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,18.01
Bid Size,100.0
Closing Price,17.57
Day Change $,0.25
Day Change %,0.0144
Day High,17.78
Day Low,17.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.03
Ex-dividend Date,No dividend
Historical Volatility,0.48
Last (size),50.0
Last (time),3:59p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",545.68
Prev Close,17.32
Shares Outstanding,516.9M
Short Interest,0.0433
Today's Open,17.68
Volume,7248115.0
Volume 10-day Avg,6101205.0
Volume Past Day,(Above Average)
