,NCLH
Next Earnings Announcement,2020-05-14 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-2.375
Growth 1yr High Est,-1.0679611650485437
Growth 1yr Consensus Est,-1.7214805825242718
Growth 2yr Low Est,-1.296446608946609
Growth 2yr High Est,-5.1911234396671295
Growth 2yr Consensus Est,-3.2437850243068693
Growth 5yr Low Est,-0.5767328319426285
Growth 5yr High Est,-2.533183671053077
Growth 5yr Consensus Est,-1.5549582514978526
Growth 5yr Actual/Est,-0.6399872922812793
Growth 3yr Historic,0.0692442719881744
