,NDAQ
Price/Earnings (TTM),24.53835
Price/Sales (TTM),3.84912
Price/Book (MRQ),3.26879
Price/Cash Flow (TTM),19.141
5yr Low,47.81
5yr High,120.23
5yr Avg Return,0.14273333333333335
EPS Growth 5yr,0.1414034
Revenue Growth 5yr,0.0401814
Dividend Growth 5yr,0.2610977
Short Int Current Month,2952751.0
Short Int Prev Month,3149057.0
Short Int Pct of Float,0.025687799999999997
Days to Cover,3.34104
Float,114.9689
Shares Outstanding,164.0708
Institutions Holding Shares,775.0
% Held by Institutions,0.776042
FCF Growth 5yr,0.09426979735912773
