,NEE
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.08150851581508523
Growth 1yr High Est,0.08333333333333348
Growth 1yr Consensus Est,0.08242092457420935
Growth 2yr Low Est,0.08631106330686766
Growth 2yr High Est,0.08608703503069703
Growth 2yr Consensus Est,0.08619904916878235
Growth 5yr Low Est,0.09951233274707705
Growth 5yr High Est,0.09876982103025767
Growth 5yr Consensus Est,0.09914107688866736
Growth 5yr Actual/Est,0.10174914107570704
Growth 3yr Historic,0.05906667958906764
