,Industry,NEE,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",40.76,31.3,Valuation,0.767909715407262
Price/Sales (TTM),2.99,5.7,Valuation,1.906354515050167
Price/Book (MRQ),1.64,3.09,Valuation,1.8841463414634148
"PEG Ratio (TTM, GAAP)",1.75,3.91,Valuation,2.2342857142857144
Gross Profit Margin (TTM),0.2613,,Profitability,
Operating Profit Margin (TTM),0.2121,0.3139,Profitability,1.47996228194248
Net Profit Margin (TTM),0.1267,0.1598,Profitability,1.261247040252565
Annual Dividend Yield,0.0376,0.0244,Dividend,0.648936170212766
Dividend Change %,0.0634,0.1261,Dividend,1.9889589905362774
"Dividend Growth Rate, 3 Years",0.0638,0.12840000000000001,Dividend,2.0125391849529786
EPS Growth (MRQ),0.141,-0.5779,Gowth rates,-4.098581560283688
EPS Growth (TTM),0.23329999999999998,0.2,Gowth rates,0.8572653236176598
Revenue Growth (MRQ),-0.0092,0.0054,Gowth rates,-0.5869565217391305
Revenue Growth (TTM),0.0131,0.16620000000000001,Gowth rates,12.68702290076336
Return On Equity (TTM),0.0752,0.1012,Effectiveness,1.3457446808510638
Return On Assets (TTM),0.0204,0.0275,Effectiveness,1.3480392156862744
Return On Investment (TTM),0.0233,0.0333,Effectiveness,1.4291845493562232
Revenue Per Employee (TTM),1716817.0,2218315.0,Effectiveness,1.2921091764585275
Total Debt/Total Capital (MRQ),0.4533,0.5345000000000001,Financial strength,1.1791308184425329
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0006,Financial strength,2.0
Quick Ratio (MRQ),0.43,0.61,Financial strength,1.4186046511627908
Interest Coverage (MRQ),2.53,0.86,Financial strength,0.3399209486166008
