,NFLX
% Below High,0.0311
% Held by Institutions,0.8136
52-Wk Range,['252.28 - 449.52']
Annual Dividend $,
Annual Dividend %,
Ask,435.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,434.6
Bid Size,100.0
Closing Price,435.55
Day Change $,-0.98
Day Change %,-0.0022
Day High,442.0
Day Low,433.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.66
Ex-dividend Date,No dividend
Historical Volatility,0.419
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,191.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",93.74
Prev Close,436.53
Shares Outstanding,439.8M
Short Interest,0.0359
Today's Open,434.14
Volume,5054308.0
Volume 10-day Avg,7495157.0
Volume Past Day,(Light)
