,NKE
Price/Earnings (TTM),32.77039
Price/Sales (TTM),3.33658
Price/Book (MRQ),15.22507
Price/Cash Flow (TTM),27.35675
5yr Low,47.25
5yr High,105.62
5yr Avg Return,0.11988333333333336
EPS Growth 5yr,0.1086327
Revenue Growth 5yr,0.0706987
Dividend Growth 5yr,0.1329568
Short Int Current Month,11793655.0
Short Int Prev Month,11959061.0
Short Int Pct of Float,0.0096246
Days to Cover,1.50035
Float,1225.465
Shares Outstanding,1555.035
Institutions Holding Shares,2400.0
% Held by Institutions,0.828238
FCF Growth 5yr,0.09456897967470937
