,2015,2016,2017,2018,2019,2020,Report
high,49.37,55.94,45.73,39.25,27.57,22.33,
low,42.76,41.0,34.22,20.53,17.94,11.62,
change,0.0317,-0.0835,-0.1374,-0.3591,-0.1124,-0.3057,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,357.0,754.0,656.0,524.0,454.0,,Balance Sheet
"Trade Accts Recvble, Gross",1261.0,1196.0,1309.0,1149.0,1131.0,,Balance Sheet
Prov. for Doubtful Accts,-26.0,-25.0,-29.0,-31.0,-28.0,,Balance Sheet
"Total Receivables, Net",1235.0,1171.0,1280.0,1118.0,1103.0,,Balance Sheet
Prepaid Expenses,316.0,297.0,346.0,361.0,420.0,,Balance Sheet
Deferred Income Tax,1074.0,1175.0,1435.0,1108.0,1052.0,,Balance Sheet
Other Current Assets,,,,,0.0,,Balance Sheet
"Other Curr. Assets, Total",0.0,,,,0.0,,Balance Sheet
Total Current Assets,1908.0,2222.0,2282.0,2003.0,1977.0,,Balance Sheet
Land/Improvements,337.0,335.0,371.0,378.0,383.0,,Balance Sheet
Machinery/Equipment,825.0,858.0,994.0,1014.0,1108.0,,Balance Sheet
Other Prop./Plant/Equip.,108.0,103.0,121.0,109.0,496.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1270.0,1296.0,1486.0,1501.0,1987.0,,Balance Sheet
Accumulated Depreciation,-780.0,-825.0,-1004.0,-1033.0,-1128.0,,Balance Sheet
Prop./Plant/Equip. - Net,490.0,471.0,482.0,468.0,859.0,,Balance Sheet
"Goodwill, Net",7783.0,7845.0,8495.0,6987.0,5993.0,,Balance Sheet
Intangibles - Gross,7225.0,7531.0,8293.0,8614.0,8231.0,,Balance Sheet
Accum. Intangible Amort.,-2453.0,-2795.0,-3216.0,-3590.0,-3350.0,,Balance Sheet
Intangibles - Net,4772.0,4736.0,5077.0,5024.0,4881.0,,Balance Sheet
Pension Bene. - Overfunded,22.0,21.0,23.0,17.0,26.0,,Balance Sheet
Def. Inc. Tax - LT Asset,78.0,127.0,170.0,333.0,276.0,,Balance Sheet
Other Long Term Assets,250.0,308.0,337.0,347.0,307.0,,Balance Sheet
Total Assets,15303.0,15730.0,16866.0,15179.0,14319.0,,Balance Sheet
Accounts Payable,216.0,238.0,296.0,288.0,230.0,,Balance Sheet
Payable/Accrued,,-1.0,,,,,Balance Sheet
Accrued Expenses,324.0,299.0,334.0,289.0,473.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,1.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,310.0,188.0,84.0,106.0,914.0,,Balance Sheet
Customer Advances,322.0,297.0,361.0,355.0,345.0,,Balance Sheet
Income Taxes Payable,42.0,97.0,111.0,76.0,60.0,,Balance Sheet
Other Current Liabilities,473.0,476.0,511.0,542.0,479.0,,Balance Sheet
"Other Curr. Lblts, Total",837.0,870.0,983.0,973.0,884.0,,Balance Sheet
Total Current Liabilities,1687.0,1594.0,1697.0,1657.0,2501.0,,Balance Sheet
Long Term Debt,6917.0,7618.0,8239.0,8170.0,7303.0,,Balance Sheet
Capital Lease Obligations,111.0,120.0,118.0,110.0,92.0,,Balance Sheet
Total Long Term Debt,7028.0,7738.0,8357.0,8280.0,7395.0,,Balance Sheet
Total Debt,7338.0,7926.0,8441.0,8387.0,8309.0,,Balance Sheet
Minority Interest,194.0,191.0,198.0,196.0,193.0,,Balance Sheet
"Other Liabilities, Total",887.0,930.0,934.0,1091.0,983.0,,Balance Sheet
Total Liabilities,10870.0,11628.0,12621.0,12332.0,12124.0,,Balance Sheet
Common Stock,32.0,32.0,32.0,32.0,32.0,,Balance Sheet
Additional Paid-In Capital,5119.0,4825.0,4742.0,4720.0,4378.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),341.0,456.0,411.0,-795.0,-1210.0,,Balance Sheet
Treasury Stock - Common,0.0,,,,,,Balance Sheet
Unrealized Gain (Loss),0.0,,,,,,Balance Sheet
Cum. Trans. Adjustment,-767.0,-856.0,-610.0,-779.0,-776.0,,Balance Sheet
