,NOW
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,0.29392971246006394
Growth 1yr High Est,0.3234421364985163
Growth 1yr Consensus Est,0.3086859244792901
Growth 2yr Low Est,0.2716562142547233
Growth 2yr High Est,1.007012548069886
Growth 2yr Consensus Est,0.6393343811623047
Growth 5yr Low Est,0.5722316158992916
Growth 5yr High Est,0.9168921008065967
Growth 5yr Consensus Est,0.7445618583529441
Growth 5yr Actual/Est,0.5029602515022831
Growth 3yr Historic,0.35644257703081234
