,NRG
Price/Earnings (TTM),1.96031
Price/Sales (TTM),0.83177
Price/Book (MRQ),5.13635
Price/Cash Flow (TTM),1.76285
5yr Low,8.8
5yr High,43.66
5yr Avg Return,0.17373333333333332
EPS Growth 5yr,1.3238910000000002
Revenue Growth 5yr,-0.0914963
Dividend Growth 5yr,-0.2597857
Short Int Current Month,7848578.0
Short Int Prev Month,5838120.0
Short Int Pct of Float,0.0315792
Days to Cover,2.29147
Float,248.0856
Shares Outstanding,250.5418
Institutions Holding Shares,673.0
% Held by Institutions,0.950331
FCF Growth 5yr,0.2791926511393144
