,NRG
% Below High,0.2157
% Held by Institutions,0.9503
52-Wk Range,['19.54 - 41.78']
Annual Dividend $,1.2
Annual Dividend %,0.0374
Ask,33.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,30.44
Bid Size,100.0
Closing Price,32.77
Day Change $,0.65
Day Change %,0.0202
Day High,33.39
Day Low,32.29
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",16.39
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.444
Last (size),41.0
Last (time),6:30p ET 05/08/20
Market Cap,8.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1.96
Prev Close,32.12
Shares Outstanding,250.5M
Short Interest,0.0316
Today's Open,32.5
Volume,2407654.0
Volume 10-day Avg,2780628.0
Volume Past Day,(Below Average)
