,NTAP
Price/Earnings (TTM),10.08115
Price/Sales (TTM),1.69781
Price/Book (MRQ),33.85894
Price/Cash Flow (TTM),7.84239
5yr Low,20.66
5yr High,88.08
5yr Avg Return,0.0884666666666667
EPS Growth 5yr,0.1975616
Revenue Growth 5yr,-0.0057284
Dividend Growth 5yr,0.25482479999999996
Short Int Current Month,8390786.0
Short Int Prev Month,7744818.0
Short Int Pct of Float,0.0380551
Days to Cover,4.86023
Float,213.4454
Shares Outstanding,221.177
Institutions Holding Shares,797.0
% Held by Institutions,0.999569
FCF Growth 5yr,0.05218452317852311
