,NUE
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.8529411764705882
Growth 1yr High Est,-0.738562091503268
Growth 1yr Consensus Est,-0.7957516339869282
Growth 2yr Low Est,-0.31283422459893045
Growth 2yr High Est,0.14321895424836595
Growth 2yr Consensus Est,-0.08480763517528225
Growth 5yr Low Est,0.13718753886332555
Growth 5yr High Est,0.3248989508083936
Growth 5yr Consensus Est,0.23104324483585956
Growth 5yr Actual/Est,0.22037423846823323
Growth 3yr Historic,0.17512213762789708
