,2015,2016,2017,2018,2019,2020,Report
high,50.7,68.0,66.0,70.48,62.31,56.86,
low,36.76,33.9,51.67,49.79,46.1,27.53,
change,-0.1776,0.5015,0.0643,-0.1931,0.1063,-0.25739999999999996,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1939.0,2046.0,949.0,1399.0,1535.0,,Balance Sheet
Short Term Investments,100.0,150.0,50.0,0.0,300.0,,Balance Sheet
Cash and Short Term Invs,2039.0,2196.0,999.0,1399.0,1835.0,,Balance Sheet
"Trade Accts Recvble, Gross",1427.0,1678.0,2078.0,2568.0,2220.0,,Balance Sheet
Prov. for Doubtful Accts,-43.0,-46.0,-49.0,-62.0,-60.0,,Balance Sheet
"Trade Accts Recvble, Net",1384.0,1632.0,2029.0,2506.0,2160.0,,Balance Sheet
Other Receivables,,,,26.0,241.0,,Balance Sheet
"Total Receivables, Net",1384.0,1632.0,2029.0,2532.0,2401.0,,Balance Sheet
Total Inventory,2245.0,2480.0,3462.0,4554.0,3842.0,,Balance Sheet
"Other Curr. Assets, Total",186.0,199.0,335.0,152.0,149.0,,Balance Sheet
Total Current Assets,5854.0,6506.0,6824.0,8636.0,8226.0,,Balance Sheet
Buildings,1034.0,1334.0,1414.0,1448.0,1579.0,,Balance Sheet
Land/Improvements,585.0,602.0,640.0,655.0,720.0,,Balance Sheet
Machinery/Equipment,10230.0,10524.0,10937.0,11102.0,11630.0,,Balance Sheet
Construction in Progress,197.0,225.0,242.0,763.0,1108.0,,Balance Sheet
Natural Resources,586.0,551.0,557.0,557.0,558.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,91.0,,Balance Sheet
Prop./Plant/Equip. - Gross,12632.0,13236.0,13790.0,14525.0,15686.0,,Balance Sheet
Accumulated Depreciation,-7741.0,-8157.0,-8697.0,-9190.0,-9416.0,,Balance Sheet
Prop./Plant/Equip. - Net,4891.0,5079.0,5093.0,5335.0,6270.0,,Balance Sheet
"Goodwill, Net",2011.0,2053.0,2196.0,2184.0,2201.0,,Balance Sheet
Intangibles - Gross,1364.0,1520.0,1660.0,1662.0,1639.0,,Balance Sheet
Accum. Intangible Amort.,-594.0,-654.0,-745.0,-834.0,-897.0,,Balance Sheet
Intangibles - Net,771.0,867.0,915.0,829.0,742.0,,Balance Sheet
Long Term Investments,-747.0,663.0,750.0,870.0,793.0,,Balance Sheet
Other Long Term Assets,1546.0,56.0,63.0,67.0,112.0,,Balance Sheet
Total Assets,14327.0,15224.0,15841.0,17921.0,18345.0,,Balance Sheet
Accounts Payable,629.0,777.0,1042.0,1338.0,1085.0,,Balance Sheet
Accrued Expenses,628.0,812.0,960.0,1106.0,930.0,,Balance Sheet
Notes Payable/ST Debt,51.0,18.0,53.0,58.0,62.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,0.0,600.0,500.0,0.0,39.0,,Balance Sheet
Dividends Payable,120.0,121.0,122.0,123.0,123.0,,Balance Sheet
Customer Advances,,,,91.0,109.0,,Balance Sheet
Other Payables,-63.0,61.0,139.0,90.0,116.0,,Balance Sheet
Other Current Liabilities,19.0,1.0,9.0,,,,Balance Sheet
"Other Curr. Lblts, Total",76.0,183.0,270.0,304.0,348.0,,Balance Sheet
Total Current Liabilities,1385.0,2390.0,2825.0,2806.0,2464.0,,Balance Sheet
Long Term Debt,4337.0,3739.0,3242.0,4233.0,4215.0,,Balance Sheet
Capital Lease Obligations,,,,,76.0,,Balance Sheet
