,NVR
Price/Earnings (TTM),13.71808
Price/Sales (TTM),1.50586
Price/Book (MRQ),4.55997
Price/Cash Flow (TTM),12.42975
5yr Low,1292.11
5yr High,4071.13
5yr Avg Return,0.25545
EPS Growth 5yr,0.2834278
Revenue Growth 5yr,0.10776160000000001
Dividend Growth 5yr,
Short Int Current Month,47420.0
Short Int Prev Month,58437.0
Short Int Pct of Float,0.0136463
Days to Cover,1.71712
Float,3.4726
Shares Outstanding,3.67595
Institutions Holding Shares,689.0
% Held by Institutions,0.870642
FCF Growth 5yr,0.3472700419631899
