,Industry,NVR,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.4,14.27,Valuation,0.6098290598290599
Price/Sales (TTM),43316151.74,1.57,Valuation,3.624514036758705e-08
Price/Book (MRQ),1.19,4.74,Valuation,3.983193277310925
"PEG Ratio (TTM, GAAP)",0.31,5.94,Valuation,19.161290322580648
Gross Profit Margin (TTM),0.14220000000000002,0.2072,Profitability,1.4571026722925455
Operating Profit Margin (TTM),-7.744400000000001,0.1358,Profitability,-0.01753525127834306
Net Profit Margin (TTM),-7.755700000000001,0.1182,Profitability,-0.015240403832020319
Annual Dividend Yield,0.0085,,Dividend,
Dividend Change %,0.0344,,Dividend,
"Dividend Growth Rate, 3 Years",0.0273,,Dividend,
EPS Growth (MRQ),3.0694,-0.3031,Gowth rates,-0.09874894116113898
EPS Growth (TTM),0.7537,0.0741,Gowth rates,0.09831497943478837
Revenue Growth (MRQ),-0.4507,-0.2048,Gowth rates,0.4544042600399379
Revenue Growth (TTM),-0.4328,-0.0039000000000000003,Gowth rates,0.009011090573012939
Return On Equity (TTM),0.0812,0.4012,Effectiveness,4.94088669950739
Return On Assets (TTM),0.0333,0.23879999999999998,Effectiveness,7.17117117117117
Return On Investment (TTM),0.0446,0.31420000000000003,Effectiveness,7.044843049327355
Revenue Per Employee (TTM),622915.0,1284790.0,Effectiveness,2.0625446489488937
Total Debt/Total Capital (MRQ),0.17120000000000002,0.1985,Financial strength,1.1594626168224298
Change in Debt/Total Capital Quarter over Quarter,-0.0003,-0.0013000000000000002,Financial strength,4.333333333333334
Quick Ratio (MRQ),0.37,,Financial strength,
Interest Coverage (MRQ),14.57,25.88,Financial strength,1.7762525737817432
